value
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.01
0.01
0.01
0.02
0.02
0.03
0.03
0.03
0.03
0.03
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.04
0.05
0.05
0.05
0.06
0.06
0.06
0.06
0.06
0.06
0.07
0.07
0.07
0.07
0.07
0.07
0.08
0.08
0.09
0.09
0.09
0.1
0.1
0.11
0.11
0.11
0.12
0.12
0.13
0.13
0.13
0.14
0.15
0.16
0.16
0.16
0.17
0.17
0.17
0.18
0.18
0.19
0.19
0.19
0.2
0.21
0.21
0.22
0.23
0.23
0.23
0.24
0.25
0.25
0.25
0.26
0.26
0.26
0.26
0.26
0.28
0.29
0.29
0.29
0.29
0.29
0.31
0.31
0.31
0.31
0.32
0.32
0.32
0.32
0.32
0.33
0.33
0.33
0.33
0.34
0.34
0.35
0.36
0.36
0.36
0.37
0.37
0.37
0.37
0.38
0.38
0.39
0.39
0.39
0.4
0.4
0.4
0.4
0.41
0.41
0.42
0.42
0.42
0.43
0.43
0.43
0.43
0.43
0.44
0.45
0.46
0.46
0.47
0.47
0.47
0.47
0.48
0.49
0.5
0.5
0.5
0.51
0.52
0.52
0.53
0.53
0.53
0.53
0.53
0.53
0.54
0.54
0.54
0.54
0.55
0.55
0.55
0.55
0.56
0.56
0.56
0.57
0.57
0.57
0.58
0.58
0.58
0.59
0.59
0.6
0.6
0.6
0.61
0.61
0.61
0.62
0.62
0.64
0.64
0.64
0.64
0.65
0.65
0.66
0.66
0.66
0.67
0.67
0.68
0.69
0.69
0.7
0.7
0.7
0.72
0.72
0.73
0.74
0.74
0.75
0.75
0.75
0.76
0.76
0.76
0.77
0.77
0.77
0.78
0.78
0.78
0.79
0.79
0.8
0.8
0.8
0.81
0.81
0.82
0.82
0.82
0.83
0.83
0.83
0.84
0.85
0.86
0.86
0.87
0.88
0.88
0.88
0.89
0.9
0.91
0.91
0.92
0.93
0.93
0.95
0.95
0.96
0.96
0.97
0.97
0.98
0.98
1.0
1.0
1.0
1.01
1.02
1.02
1.03
1.03
1.03
1.04
1.04
1.06
1.06
1.06
1.07
1.08
1.08
1.08
1.08
1.1
1.12
1.14
1.15
1.17
1.17
1.18
1.18
1.19
1.19
1.19
1.19
1.2
1.2
1.2
1.21
1.21
1.22
1.23
1.24
1.24
1.26
1.26
1.27
1.27
1.28
1.3
1.31
1.31
1.32
1.33
1.33
1.36
1.37
1.38
1.39
1.42
1.43
1.44
1.44
1.45
1.48
1.49
1.5
1.5
1.51
1.52
1.52
1.53
1.54
1.54
1.57
1.57
1.58
1.62
1.63
1.64
1.66
1.66
1.67
1.68
1.71
1.73
1.75
1.75
1.76
1.78
1.79
1.8
1.8
1.8
1.8
1.81
1.81
1.86
1.86
1.87
1.88
1.9
1.9
1.91
1.91
1.91
1.91
1.91
1.92
1.92
1.93
1.93
1.94
1.97
1.97
1.98
2.01
2.01
2.07
2.07
2.07
2.07
2.08
2.08
2.09
2.11
2.13
2.14
2.15
2.19
2.24
2.25
2.26
2.27
2.33
2.35
2.4
2.42
2.46
2.5
2.51
2.52
2.53
2.56
2.59
2.61
2.62
2.62
2.63
2.74
2.76
2.76
2.77
2.79
2.79
2.81
2.84
2.84
2.85
2.85
2.87
2.89
2.94
2.94
2.95
2.96
3.0
3.03
3.04
3.05
3.07
3.07
3.12
3.14
3.15
3.17
3.18
3.19
3.22
3.23
3.28
3.28
3.31
3.33
3.37
3.42
3.5
3.54
3.7
3.76
3.84
3.88
4.05
4.1
4.13
4.19
4.24
4.29
4.3
4.34
4.4
4.44
4.48
4.58
4.62
4.65
4.68
4.71
4.72
4.76
4.79
4.84
4.85
5.11
5.31
5.32
5.45
5.47
5.52
5.53
5.58
5.58
5.61
5.79
5.8
5.96
6.02
6.02
6.03
6.17
6.24
6.43
6.62
6.72
6.75
6.83
6.85
6.86
7.05
7.08
7.16
7.21
7.36
7.48
7.56
7.57
7.78
7.88
8.18
8.28
8.61
8.76
8.89
9.01
9.03
9.45
10.13
10.25
10.45
10.63
10.64
10.84
10.84
11.38
11.65
11.83
12.09
12.36
12.65
12.74
12.74
12.76
13.13
13.29
15.04
17.66
17.88
18.08
18.96
23.57
23.75
33.13
36.28
37.0
41.28
85.23
91.33
115.39
120.75
226.26
239.0
264.96
381.46
685.78
765.86
1025.48
1059.96
1369.29
1692.83
